sex,age,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 
M,Y25-54,PC,PL	2 	2 	2 	2 	2 	2 	2 
M,Y25-54,PC,PT	4 	4 	3 	3 	3 	3 	3 
M,Y25-54,PC,RO	1 	: 	: 	: 	: 	: 	1 
M,Y25-54,PC,SE	5 	5 	5 	4 	4 	4 	5 
M,Y25-54,PC,SI	3 	1 	2 	1 	2 	2 	2 
M,Y25-54,PC,SK	2 	2 	2 	1 	1 	1 	1 
M,Y25-54,PC,UK	3 	3 	3 	3 	2 	2 	2 
M,Y55-74,PC,AT	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,BG	2 	1 	1 	1 	1 	2 	1 
M,Y55-74,PC,CY	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,CZ	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,DK	2 	2 	2 	2 	2 	2 	2 
M,Y55-74,PC,EE	2 	3 	2 	2 	2 	3 	2 
M,Y55-74,PC,EL	0 	0 	1 	1 	0 	0 	0 
M,Y55-74,PC,ES	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,FI	2 	2 	2 	2 	2 	2 	2 
M,Y55-74,PC,FR	1 	1 	1 	1 	1 	2 	2 
M,Y55-74,PC,HR	1 	2 	1 	1 	1 	1 	1 
M,Y55-74,PC,HU	1 	1 	2 	2 	1 	1 	1 
M,Y55-74,PC,IE	1 	1 	1 	0 	0 	1 	1 
M,Y55-74,PC,IT	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,LT	4 	4 	2 	2 	2 	2 	2 
M,Y55-74,PC,LV	1 	2 	2 	2 	3 	2 	3 
M,Y55-74,PC,MT	1 	1 	2 	2 	1 	1 	1 
M,Y55-74,PC,NL	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,NO	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,PL	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,PT	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,RO	1 	: 	: 	: 	: 	: 	1 
M,Y55-74,PC,SE	3 	3 	3 	3 	3 	3 	3 
M,Y55-74,PC,SI	1 	0 	1 	1 	1 	1 	0 
M,Y55-74,PC,SK	1 	2 	1 	1 	1 	0 	1 
M,Y55-74,PC,UK	1 	1 	1 	1 	1 	1 	1 
T,Y15-24,PC,AT	8 	8 	7 	7 	7 	7 	8 
T,Y15-24,PC,BG	4 	4 	3 	5 	5 	4 	3 
T,Y15-24,PC,CY	8 	10 	7 	9 	6 	6 	7 
T,Y15-24,PC,CZ	5 	6 	5 	5 	5 	4 	5 
T,Y15-24,PC,DK	14 	14 	11 	13 	13 	12 	12 
T,Y15-24,PC,EE	12 	9 	8 	9 	10 	8 	8 
T,Y15-24,PC,EL	3 	3 	3 	3 	2 	2 	2 
T,Y15-24,PC,ES	15 	13 	13 	11 	10 	9 	9 
T,Y15-24,PC,FI	16 	18 	15 	15 	15 	16 	16 
T,Y15-24,PC,FR	10 	10 	10 	10 	9 	12 	12 
T,Y15-24,PC,HR	7 	8 	8 	7 	5 	5 	4 
T,Y15-24,PC,HU	6 	6 	5 	5 	5 	4 	3 
T,Y15-24,PC,IE	7 	7 	8 	6 	6 	6 	5 
T,Y15-24,PC,IT	8 	7 	7 	7 	6 	6 	5 
T,Y15-24,PC,LT	9 	12 	8 	6 	6 	5 	5 
T,Y15-24,PC,LV	5 	6 	6 	7 	7 	6 	5 
T,Y15-24,PC,MT	5 	5 	6 	6 	7 	7 	6 
T,Y15-24,PC,NL	11 	11 	11 	9 	8 	9 	9 
T,Y15-24,PC,NO	7 	7 	7 	8 	8 	9 	8 
T,Y15-24,PC,PL	6 	6 	6 	6 	5 	6 	6 
T,Y15-24,PC,PT	13 	12 	12 	11 	9 	8 	8 
T,Y15-24,PC,RO	2 	: 	: 	: 	: 	: 	2 
T,Y15-24,PC,SE	18 	19 	21 	21 	21 	22 	22 
T,Y15-24,PC,SI	10 	5 	11 	4 	7 	8 	9 
T,Y15-24,PC,SK	5 	6 	6 	4 	3 	3 	3 
T,Y15-24,PC,UK	7 	7 	7 	7 	7 	6 	6 
T,Y15-74,PC,AT	3 	3 	3 	3 	3 	3 	3 
T,Y15-74,PC,BG	2 	2 	1 	2 	2 	2 	1 
T,Y15-74,PC,CY	3 	4 	3 	3 	2 	2 	2 
T,Y15-74,PC,CZ	2 	2 	2 	2 	2 	1 	2 
T,Y15-74,PC,DK	6 	6 	5 	6 	5 	5 	5 
T,Y15-74,PC,EE	4 	3 	3 	3 	3 	3 	4 
T,Y15-74,PC,EL	1 	1 	1 	1 	1 	1 	1 
T,Y15-74,PC,ES	4 	4 	4 	3 	3 	3 	3 
T,Y15-74,PC,FI	5 	5 	4 	4 	4 	5 	5 
T,Y15-74,PC,FR	3 	3 	3 	2 	2 	4 	4 
T,Y15-74,PC,HR	3 	2 	2 	2 	1 	1 	1 
T,Y15-74,PC,HU	2 	2 	2 	2 	2 	2 	1 
T,Y15-74,PC,IE	3 	2 	2 	2 	2 	2 	2 
T,Y15-74,PC,IT	2 	2 	2 	2 	2 	2 	2 
T,Y15-74,PC,LT	4 	5 	3 	2 	3 	3 	3 
T,Y15-74,PC,LV	3 	3 	3 	3 	3 	3 	3 
T,Y15-74,PC,MT	3 	2 	3 	2 	3 	3 	2 
T,Y15-74,PC,NL	4 	4 	4 	3 	3 	3 	3 
T,Y15-74,PC,NO	3 	3 	3 	3 	3 	4 	3 
T,Y15-74,PC,PL	2 	2 	2 	2 	2 	2 	2 
T,Y15-74,PC,PT	4 	4 	3 	3 	3 	3 	3 
T,Y15-74,PC,RO	1 	: 	: 	: 	: 	: 	1 
T,Y15-74,PC,SE	6 	6 	6 	6 	6 	6 	6 
T,Y15-74,PC,SI	3 	1 	2 	1 	2 	2 	2 
T,Y15-74,PC,SK	2 	2 	2 	1 	1 	1 	1 
T,Y15-74,PC,UK	3 	3 	3 	3 	3 	3 	2 
T,Y25-54,PC,AT	3 	3 	2 	2 	2 	2 	3 
T,Y25-54,PC,BG	2 	2 	2 	2 	2 	2 	1 
T,Y25-54,PC,CY	3 	3 	3 	2 	2 	2 	2 
T,Y25-54,PC,CZ	2 	2 	2 	2 	2 	1 	2 
T,Y25-54,PC,DK	6 	6 	5 	5 	5 	4 	5 
T,Y25-54,PC,EE	4 	3 	3 	3 	3 	3 	4 
T,Y25-54,PC,EL	1 	1 	1 	1 	1 	1 	1 
T,Y25-54,PC,ES	4 	4 	4 	3 	3 	3 	3 
