emp_cont,sex,age,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 
LTD,M,Y55-74,PC_EMP,SK	5 	3 	6 	4 	6 	9 	: 
LTD,M,Y55-74,PC_EMP,TR	8 	8 	8 	10 	7 	9 	7 
LTD,M,Y55-74,PC_EMP,UK	3 	3 	3 	3 	4 	3 	4 
LTD,T,Y15-24,PC_EMP,AT	3 	3 	4 	4 	4 	3 	3 
LTD,T,Y15-24,PC_EMP,BG	5 	6 	7 	4 	10 	10 	11 
LTD,T,Y15-24,PC_EMP,CH	3 	3 	2 	4 	3 	3 	3 
LTD,T,Y15-24,PC_EMP,CY	6 	9 	14 	10 	9 	10 	6 
LTD,T,Y15-24,PC_EMP,CZ	2 	2 	4 	4 	4 	6 	6 
LTD,T,Y15-24,PC_EMP,DK	3 	4 	3 	4 	4 	5 	6 
LTD,T,Y15-24,PC_EMP,EE	: 	15 	: 	: 	7 	14 	: 
LTD,T,Y15-24,PC_EMP,EL	9 	9 	10 	10 	14 	11 	10 
LTD,T,Y15-24,PC_EMP,ES	12 	13 	14 	16 	17 	17 	16 
LTD,T,Y15-24,PC_EMP,FI	7 	6 	8 	9 	7 	8 	8 
LTD,T,Y15-24,PC_EMP,FR	8 	9 	9 	9 	9 	10 	10 
LTD,T,Y15-24,PC_EMP,HR	9 	13 	8 	9 	8 	14 	: 
LTD,T,Y15-24,PC_EMP,HU	6 	4 	5 	6 	9 	8 	8 
LTD,T,Y15-24,PC_EMP,IE	4 	4 	5 	5 	5 	6 	5 
LTD,T,Y15-24,PC_EMP,IT	6 	8 	7 	8 	7 	8 	6 
LTD,T,Y15-24,PC_EMP,LT	: 	: 	: 	: 	: 	8 	: 
LTD,T,Y15-24,PC_EMP,LV	: 	: 	: 	: 	9 	22 	13 
LTD,T,Y15-24,PC_EMP,MK	: 	14 	14 	11 	9 	21 	13 
LTD,T,Y15-24,PC_EMP,NL	3 	3 	3 	3 	4 	4 	4 
LTD,T,Y15-24,PC_EMP,NO	4 	5 	4 	4 	4 	3 	3 
LTD,T,Y15-24,PC_EMP,PL	3 	3 	3 	4 	5 	5 	5 
LTD,T,Y15-24,PC_EMP,PT	7 	7 	8 	8 	8 	10 	9 
LTD,T,Y15-24,PC_EMP,RO	: 	: 	: 	: 	: 	5 	: 
LTD,T,Y15-24,PC_EMP,SE	5 	5 	6 	8 	7 	8 	7 
LTD,T,Y15-24,PC_EMP,SI	4 	5 	5 	8 	5 	6 	5 
LTD,T,Y15-24,PC_EMP,SK	5 	4 	5 	4 	6 	7 	6 
LTD,T,Y15-24,PC_EMP,TR	11 	11 	11 	11 	9 	10 	9 
LTD,T,Y15-24,PC_EMP,UK	3 	3 	5 	4 	6 	5 	6 
LTD,T,Y15-74,PC_EMP,AT	6 	6 	6 	6 	6 	6 	6 
LTD,T,Y15-74,PC_EMP,BG	5 	7 	7 	8 	11 	10 	10 
LTD,T,Y15-74,PC_EMP,CH	8 	7 	6 	7 	6 	7 	6 
LTD,T,Y15-74,PC_EMP,CY	10 	10 	8 	9 	7 	7 	6 
LTD,T,Y15-74,PC_EMP,CZ	3 	3 	4 	5 	5 	6 	6 
LTD,T,Y15-74,PC_EMP,DK	7 	5 	7 	8 	12 	11 	12 
LTD,T,Y15-74,PC_EMP,EE	: 	17 	16 	6 	15 	14 	12 
LTD,T,Y15-74,PC_EMP,EL	10 	12 	9 	12 	12 	14 	12 
LTD,T,Y15-74,PC_EMP,ES	12 	13 	14 	16 	17 	18 	16 
LTD,T,Y15-74,PC_EMP,FI	9 	7 	10 	9 	9 	9 	10 
LTD,T,Y15-74,PC_EMP,FR	9 	10 	10 	10 	11 	11 	10 
LTD,T,Y15-74,PC_EMP,HR	6 	7 	6 	7 	7 	8 	10 
LTD,T,Y15-74,PC_EMP,HU	4 	4 	5 	6 	6 	8 	9 
LTD,T,Y15-74,PC_EMP,IE	7 	4 	6 	6 	6 	7 	6 
LTD,T,Y15-74,PC_EMP,IT	8 	7 	7 	7 	7 	7 	6 
LTD,T,Y15-74,PC_EMP,LT	18 	17 	15 	22 	18 	19 	17 
LTD,T,Y15-74,PC_EMP,LV	11 	10 	13 	13 	18 	26 	14 
LTD,T,Y15-74,PC_EMP,MK	: 	7 	12 	9 	10 	11 	12 
LTD,T,Y15-74,PC_EMP,NL	3 	4 	5 	5 	5 	5 	5 
LTD,T,Y15-74,PC_EMP,NO	5 	7 	6 	4 	5 	4 	3 
LTD,T,Y15-74,PC_EMP,PL	2 	2 	2 	3 	4 	4 	4 
LTD,T,Y15-74,PC_EMP,PT	6 	7 	8 	8 	10 	11 	9 
LTD,T,Y15-74,PC_EMP,RO	: 	: 	: 	: 	5 	4 	8 
LTD,T,Y15-74,PC_EMP,SE	6 	6 	7 	7 	8 	8 	7 
LTD,T,Y15-74,PC_EMP,SI	7 	6 	7 	7 	8 	8 	9 
LTD,T,Y15-74,PC_EMP,SK	5 	4 	6 	6 	7 	8 	6 
LTD,T,Y15-74,PC_EMP,TR	12 	14 	13 	12 	11 	11 	10 
LTD,T,Y15-74,PC_EMP,UK	3 	3 	3 	3 	4 	4 	5 
